Province;City;URL;Data source-CN;Data source-EN;Type-CN;Type-EN
Anhui;Fuyang;http://wjw.fy.gov.cn/;阜阳市卫生健康委员会;Fuyang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Hefei;http://wjw.hefei.gov.cn/;合肥市卫生健康委员会;Hefei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huaibei;http://wjw.huaibei.gov.cn/xxfb/tzgg/index.html;淮北市卫生健康委员会;Huaibei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huainan;http://wjw.huainan.gov.cn/xwzx/tzgg/index.html;淮南市卫生健康委员会;Huainan Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Lu'an;http://www.luan.gov.cn/zwzx/jrla/zxyw/index.html;六安市人民政府;Liuan Municipal People's Government;国家、省、市、自治区政府网站;Websites of the governments of countries, provinces, cities and autonomous regions
Anhui;Anqing;http://wjw.anqing.gov.cn/;安庆市卫生健康委员会;Anqing Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Bozhou;http://wjw.bozhou.gov.cn/;亳州市卫生健康委员会;Bozhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Suzhou;http://wjw.ahsz.gov.cn/;宿州市卫生健康委员会;Suzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Fuyang;http://wjw.fy.gov.cn/;阜阳市卫生健康委员会;Fuyang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Hefei;http://wjw.hefei.gov.cn/;合肥市卫生健康委员会;Hefei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
